pid	title	qid	wikititle	status	license	free	img	artist
265	&TEAM	Q112834233	ja:&TEAM	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/4/4d/241002_%26Team_%281%29.jpg	
106	2NE1	Q171885	en:2NE1	has_img	CC BY 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/4/4c/2NE1_2009_MAMA.jpg	
105	2PM	Q222760	en:2PM	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/5/5f/2PM_2015_Cosmopolitan.jpg	Rod Lee
286	AB6IX	Q63852480	en:AB6IX	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/68/190522_AB6IX_01.png	디스패치 / Dispatch
64	aespa	Q100877982	en:Aespa	has_img	CC BY-SA 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/5/5f/241005_aespa_K-Link_Festival_%28cropped%29.jpg	plumflower snow
313	AKMU	Q489342	en:AKMU	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/68/160505_%EC%95%85%EB%8F%99%EB%AE%A4%EC%A7%80%EC%85%98_1.jpg	
270	ALLDAY PROJECT	Q134986635	en:AllDay Project	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/2/22/Allday_Project_40th_GDA_1.jpg	티비텐 TV10
300	AOA	Q492035	en:AOA (group)	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/7/72/AOA_Ellesse_Fansign_160408.jpg	HeyDay
111	Apink	Q483286	en:Apink	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/f/fe/Apink_on_19_April_2022.jpg	8500 Namjoo
277	ARTMS	Q119692734	en:Artms	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/8/83/Artms_250613.jpg	티비텐 TV10
85	ATEEZ	Q59793088	en:Ateez	has_img	CC BY-SA 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/3/3f/ATEEZ_in_August_2024_%28cropped%29.jpg	pinkllamanade
304	B1A4	Q483751	en:B1A4	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/3/38/240112_B1A4.jpg	티비텐 TV10
74	BABYMONSTER	Q115967938	en:Babymonster	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/5/57/BabyMonster_Promoting_drip_on_2024112.png	https://www.youtube.com/@SBS_Radio
274	BADVILLAIN	Q126365908	en:Badvillain	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/64/Badvillain_240614.png	TV Ten
90	BIGBANG	Q282104	en:BigBang (South Korean band)	has_img	CC BY-SA 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/c/ce/BIGBANG_2011_%28current_members_since_2023%29.jpg	Korea.net / Korean Culture and Information Service
278	Billlie	Q108888399	en:Billlie	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/d/d4/241018_Billlie.jpg	티비텐 TV10
303	Block B	Q498326	en:Block B	has_img	CC BY-SA 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/c/c9/Block_B_at_KCON_2015_in_Los_Angeles.jpg	Michael Duangdara
100	BOYNEXTDOOR	Q118178306	en:BoyNextDoor	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/0/04/2026-01-16_BOYNEXTDOOR_at_Golden_Disc_Awards_05_%28cropped%29.png	티비텐 TV10
301	Brown Eyed Girls	Q483253	en:Brown Eyed Girls	has_img	Public domain	Y	https://upload.wikimedia.org/wikipedia/commons/1/12/Brown_Eyed_Girls_Meet_the_Press_in_Hanoi%2C_May_27%2C_2012_%287279979502%29_%28cropped%29.jpg	USAID Vietnam
296	BTOB	Q491067	en:BtoB (band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/e/e4/BTOB_in_Marie_Claire_Korea_2017.jpg	Marie Claire Korea
288	CIX	Q63790991	en:CIX (band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/e/e3/%EC%94%A8%EC%95%84%EC%9D%B4%EC%97%91%EC%8A%A4_%28CIX%29_-_%EB%AE%A4%EC%A7%81%EB%B1%85%ED%81%AC_%EC%B6%9C%EA%B7%BC%EA%B8%B8_%EC%A7%81%EC%BA%A0_MusicBank_Fancam_220902.jpg	mang2goon
268	CORTIS	Q135668928	en:Cortis	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/65/Cortis_at_TikTok_Awards_Korea.jpg	TenAsia
285	CRAVITY	Q90628571	en:Cravity	has_img	CC BY-SA 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/9/94/KOCIS_Overseas_Promotional_Ambassadors_05_%2852147778663%29.jpg	Republic of  Korea from Seoul, Republic of Korea
96	DAY6	Q20898046	en:Day6	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/a/ac/180628_Day6.jpg	Nine Stars
83	ENHYPEN	Q99479445	en:Enhypen	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/c/c3/Enhypen_at_Golden_disc_awards.png	https://www.youtube.com/@_TV10
299	EXID	Q492381	en:EXID	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/9/9f/190526_EXID.jpg	twoahn
88	EXO	Q494717	en:Exo	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/9/91/Exo_monster_160618_suwon.png	https://www.youtube.com/user/mang2goon/about
292	f(x)	Q344286	en:F(x) (group)	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/b/be/151025_f%28x%29_01.jpg	PTTf(x)
279	FIFTY FIFTY	Q116731010	en:Fifty Fifty (group)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/3/35/Fifty_Fifty_2024_Billboard_K_Power_100.png	
78	fromis_9	Q41398331	en:Fromis 9	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/3/38/Fromis_9_in_Seattle.jpg	David Lee
112	GFRIEND	Q18733030	en:GFriend	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/a/a9/200209_%EC%96%91%EC%B2%9C_%ED%8C%AC%EC%82%AC%EC%9D%B8%ED%9A%8C.jpg	Jung Duo
302	Girl's Day	Q497325	en:Girl's Day	has_img	CC BY-SA 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/60/KCon_2017_LA_Girl%27s_Day.jpg	Han Cinema
70	Girls' Generation	Q20153	en:Girls' Generation	has_img	CC BY-SA 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/1/15/220728_GG_poleposition_266_%2853595169645%29.jpg	Spes Sublimitas from Korea, Republic Of
287	Golden Child	Q30007238	en:Golden Child (band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/5/59/220812_%EA%B3%A8%EB%93%A0%EC%B0%A8%EC%9D%BC%EB%93%9C_Golden_Child.png	티비텐 TV10
92	GOT7	Q23772001	en:Got7	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/8/84/Got7_cheering_video_for_JYPE_16th_audition_01.jpg	JYPAudition
267	Hearts2Hearts	Q131746784	en:Hearts2Hearts	has_img	CC BY-SA 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/1/1d/260221_HEARTS2HEARTS_%40_2026_Fanmeeting_HEARTS2HOUSE.jpg	sublimitas viii
295	Highlight	Q269595	en:Highlight (band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/4/4c/Highlight_at_G-KPOP_2022.jpg	티비텐 TV10
72	I-dle	Q51885404	en:I-dle	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/6e/I-dle_at_Love_Your_W_on_October_15%2C_2025.png	티비텐 TV10
66	ILLIT	Q122179261	en:Illit	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/c/c8/Illit_in_January_2026.png	https://www.youtube.com/@_TV10
95	INFINITE	Q50598	en:Infinite (band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/9/97/20230801_INFINITE_%28%EC%9D%B8%ED%94%BC%EB%8B%88%ED%8A%B8%29.jpg	SBS Radio
67	ITZY	Q60732823	en:Itzy	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/f/f5/251110_ITZY.png	티비텐 TV10
109	IZ*ONE	Q56402353	en:Iz*One	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/e/e6/190106_33%ED%9A%8C_%EA%B3%A8%EB%93%A0%EB%94%94%EC%8A%A4%ED%81%AC_%EC%8B%9C%EC%83%81%EC%8B%9D_%EB%A0%88%EB%93%9C%EC%B9%B4%ED%8E%AB_%EC%95%84%EC%9D%B4%EC%A6%88%EC%9B%90.jpg	뉴스인스타
269	izna	Q127162707	en:Izna	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/9/92/Izna_250930.jpg	Tv10
290	KARA	Q124459	en:Kara (South Korean group)	has_img	Attribution	Y	https://upload.wikimedia.org/wikipedia/commons/4/4d/KARA_2026_Taipei_New_Year%27s_Party.jpg	
108	Kep1er	Q109077000	en:Kep1er	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/e/ec/Kep1er_Nov%2724_%28cropped%29.png	티비텐
272	KiiiKiii	Q132526762	en:KiiiKiii	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/5/5c/KiiiKiii_251025.jpg	티비텐 TV10
73	KISS OF LIFE	Q118314702	en:Kiss of Life (group)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/5/5e/KISS_OF_LIFE_at_Lose_Yourself_showcase.png	
282	Lapillus	Q112620284	en:Lapillus (group)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/d/d4/20230621_Lapillus_%28%EB%9D%BC%ED%95%84%EB%A3%A8%EC%8A%A4%29.jpg	티비텐 TV10
65	LE SSERAFIM	Q111381707	en:Le Sserafim	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/a/a5/Le_Sserafim_at_2026_Golden_Disc_awards.png	https://www.youtube.com/@_TV10
77	LOONA	Q28025953	en:Loona	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/0/0c/180820_Loona_at_their_debut_showcase_%282%29.png	뉴스인스타 (NewsInStar)
280	Loossemble	Q121975741	en:Loossemble	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/9/9f/Loossemble_at_Incheon_Airport_on_140923_%281%29.png	티비텐
69	MAMAMOO	Q17278068	en:Mamamoo	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/5/5b/Mamamoo_in_2023.png	Galaxy Studio
271	MEOVV	Q130084175	en:Meovv	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/2/2b/251025_MEOVV.jpg	티비텐 TV10
294	miss A	Q284740	en:Miss A	has_img	CC BY-SA 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/7/78/Miss_A_at_the_Korea_KPOP_World_Festival_2013.jpg	https://www.flickr.com/people/koreanet
260	MOMOLAND	Q27820706	en:Momoland	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/7/7d/Momoland_January_2022.jpg	티비텐
93	MONSTA X	Q19855151	en:Monsta X	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/2/24/MonstaX_in_Golden_Disc_Awards_2019.jpg	Newsen [뉴스엔 김기태 기자]
82	NCT 127	Q55624444	en:NCT 127	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/2/21/NCT127_-_Fact_Check_press_conference_Oct_6_2023.jpg	티비텐 TV10 (TV10)
81	NCT DREAM	Q47002841	en:NCT Dream	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/4/4b/NCT_Dream_at_DREAM%28%29SCAPE_Press_Conference.png	티비텐 TV10 (TV Ten)
264	NCT WISH	Q122575981	ja:NCT WISH	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/0/07/NCTWish-240316.jpg	
273	NEXZ	Q123865358	en:Nexz	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/9/9e/NEXZ_September_2024.jpg	티비텐
75	NMIXX	Q109307762	en:Nmixx	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/6d/Nmixx_at_Music_Bank_on_20240830.png	티비텐 TV10
110	OH MY GIRL	Q19794854	en:Oh My Girl	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/d/d2/Oh_My_Girl_at_Golden_Hourglass_showcase_on_250723_%281%29.png	티비텐
289	ONF	Q35101861	en:ONF (band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/b/b0/ONF_2019_Go_Live_Showcase.png	뉴스인스타 (NEWSINSTAR)
283	P1Harmony	Q101529383	en:P1Harmony	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/69/P1Harmony_for_Marie_Claire_Korea_01_%28cropped%29.jpg	Marie Claire Korea
97	PENTAGON	Q23936742	en:Pentagon (South Korean band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/6b/Pentagon_190327.png	NewsInstar
102	PLAVE	Q2105115	en:Plave, Kanal	has_img	CC BY-SA 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/b/bb/PLAVE_04.08.2014_002.jpg	SLIKE 253
275	QWER	Q124412677	en:QWER	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/2/21/251025_QWER.jpg	티비텐 TV10
68	Red Velvet	Q17466114	en:Red Velvet (group)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/2/2f/%EB%A0%88%EB%93%9C%EB%B2%A8%EB%B2%B3%28Red_Velvet%29_%EC%BC%80%EC%9D%B4%EC%BD%98_%EC%9E%AC%ED%8C%AC_2024_%EB%A0%88%EB%93%9C%EC%B9%B4%ED%8E%AB_KCON_JAPAN_2024_%281%29.jpg	TV10
98	RIIZE	Q121075203	en:Riize	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/7/7c/Riize_at_the_2024_Melon_Music_Awards-2.png	TenAsia
262	SAY MY NAME	Q130581752	en:Say My Name (group)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/8/8a/Say_My_Name_250913.jpg	티비텐 TV10
79	SEVENTEEN	Q14524548	en:Seventeen (South Korean band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/8/8b/Seventeen_Carat_Land_24.jpg	Seventeen
91	SHINee	Q269836	en:Shinee	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/e/e7/SHINee_in_BKK.jpg	Marie Claire Korea
293	SISTAR	Q223048	en:Sistar	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/1/16/%EC%94%A8%EC%8A%A4%ED%83%80%28SISTAR%29_G%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C_%EC%95%84%EC%8B%9C%EC%95%84_%EB%93%9C%EB%A6%BC_%EC%BD%98%EC%84%9C%ED%8A%B8_%2811%29.jpg	SJ
