265	boy	and-team	&TEAM
106	girl	2ne1	2NE1
105	boy	2pm	2PM
286	boy	ab6ix	AB6IX
64	girl	aespa	aespa
313	mixed	akmu	AKMU
270	mixed	allday-project	ALLDAY PROJECT
300	girl	aoa	AOA
111	girl	apink	Apink
277	girl	artms	ARTMS
85	boy	ateez	ATEEZ
304	boy	b1a4	B1A4
74	girl	babymonster	BABYMONSTER
274	girl	badvillain	BADVILLAIN
90	boy	bigbang	BIGBANG
278	girl	billlie	Billlie
303	boy	block-b	Block B
100	boy	boynextdoor	BOYNEXTDOOR
301	girl	brown-eyed-girls	Brown Eyed Girls
296	boy	btob	BTOB
288	boy	cix	CIX
268	boy	cortis	CORTIS
285	boy	cravity	CRAVITY
96	boy	day6	DAY6
83	boy	enhypen	ENHYPEN
299	girl	exid	EXID
88	boy	exo	EXO
292	girl	fx	f(x)
279	girl	fifty-fifty	FIFTY FIFTY
78	girl	fromis-9	fromis_9
112	girl	gfriend	GFRIEND
302	girl	girls-day	Girl's Day
70	girl	girls-generation	Girls' Generation
287	boy	golden-child	Golden Child
92	boy	got7	GOT7
267	girl	hearts2hearts	Hearts2Hearts
295	boy	highlight	Highlight
72	girl	gidle	I-dle
66	girl	illit	ILLIT
95	boy	infinite	INFINITE
67	girl	itzy	ITZY
109	girl	izone	IZ*ONE
269	girl	izna	izna
290	girl	kara	KARA
108	girl	kep1er	Kep1er
272	girl	kiiikiii	KiiiKiii
73	girl	kiss-of-life	KISS OF LIFE
282	girl	lapillus	Lapillus
65	girl	le-sserafim	LE SSERAFIM
77	girl	loona	LOONA
280	girl	loossemble	Loossemble
69	girl	mamamoo	MAMAMOO
271	girl	meovv	MEOVV
294	girl	miss-a	miss A
260	girl	momoland	MOMOLAND
93	boy	monsta-x	MONSTA X
82	boy	nct-127	NCT 127
81	boy	nct-dream	NCT DREAM
264	boy	nct-wish	NCT WISH
273	boy	nexz	NEXZ
75	girl	nmixx	NMIXX
110	girl	oh-my-girl	OH MY GIRL
289	boy	onf	ONF
283	boy	p1harmony	P1Harmony
97	boy	pentagon	PENTAGON
102	boy	plave	PLAVE
275	girl	qwer	QWER
68	girl	red-velvet	Red Velvet
98	boy	riize	RIIZE
262	girl	say-my-name	SAY MY NAME
79	boy	seventeen	SEVENTEEN
91	boy	shinee	SHINee
293	girl	sistar	SISTAR
71	girl	stayc	STAYC
84	boy	stray-kids	Stray Kids
89	boy	super-junior	SUPER JUNIOR
104	boy	super-m	SuperM
298	girl	t-ara	T-ara
87	boy	the-boyz	THE BOYZ
266	boy	treasure	TREASURE
276	girl	triples	tripleS
61	girl	twice	TWICE
101	boy	tws	TWS
86	boy	txt	TXT
281	girl	unis	UNIS
76	girl	viviz	VIVIZ
297	boy	vixx	VIXX
94	boy	wanna-one	Wanna One
103	boy	wayv	WayV
107	girl	weeekly	Weeekly
291	girl	wonder-girls	Wonder Girls
284	boy	xdinary-heroes	Xdinary Heroes
99	boy	zerobaseone	ZEROBASEONE
261	boy	tvxq	東方神起 (TVXQ)
